InteractionID	UniprotID_A	UniprotName_A	GeneName_A	UniprotID_B	UniprotName_B	GeneName_B	Experiments	Methods	Publications	3DStructures	CurationEvents
3361100	A0A087WX54	A0A087WX54_HUMAN	ZNF385C	Q9NVV9	THAP1_HUMAN	THAP1	2	1	2	0	3
3361101	A0A087WX54	A0A087WX54_HUMAN	ZNF385C	P25788	PSA3_HUMAN	PSMA3	2	1	2	0	3
3731221	A0A087X2D5	A0A087X2D5_HUMAN	MRPL45	Q9HD33	RM47_HUMAN	MRPL47	2	2	2	0	2
3731257	A0A087X2D5	A0A087X2D5_HUMAN	MRPL45	Q8N5N7	RM50_HUMAN	MRPL50	2	2	2	0	2
3804106	A0AVI4	TM129_HUMAN	TMEM129	Q9BUN8	DERL1_HUMAN	DERL1	2	1	2	0	3
3804112	A0AVI4	TM129_HUMAN	TMEM129	P04439	1A03_HUMAN	HLA-A	2	1	2	0	2
3407094	A0AVT1	UBA6_HUMAN	UBA6	P51114	FXR1_HUMAN	FXR1	2	2	2	0	2
3407095	A0AVT1	UBA6_HUMAN	UBA6	P38919	IF4A3_HUMAN	EIF4A3	2	2	2	0	2
3407096	A0AVT1	UBA6_HUMAN	UBA6	Q06787	FMR1_HUMAN	FMR1	2	2	2	0	2
3657048	A0AVT1	UBA6_HUMAN	UBA6	P62837	UB2D2_HUMAN	UBE2D2	3	2	3	0	3
3713349	A0AVT1	UBA6_HUMAN	UBA6	P0CG48	UBC_HUMAN	UBC	4	4	3	0	4
3713350	A0AVT1	UBA6_HUMAN	UBA6	O15205	UBD_HUMAN	UBD	3	3	2	0	3
3713811	A0AVT1	UBA6_HUMAN	UBA6	Q9H832	UBE2Z_HUMAN	UBE2Z	6	3	5	0	7
3732302	A0AVT1	UBA6_HUMAN	UBA6	P15374	UCHL3_HUMAN	UCHL3	2	1	2	0	2
3732641	A0AVT1	UBA6_HUMAN	UBA6	Q00341	VIGLN_HUMAN	HDLBP	2	1	2	0	2
3737371	A0AVT1	UBA6_HUMAN	UBA6	Q86UV5	UBP48_HUMAN	USP48	2	1	2	0	2
3768548	A0AVT1	UBA6_HUMAN	UBA6	P17812	PYRG1_HUMAN	CTPS1	2	1	2	0	2
3778515	A0AVT1	UBA6_HUMAN	UBA6	P68036	UB2L3_HUMAN	UBE2L3	2	2	2	0	2
3373516	A0FGR8	ESYT2_HUMAN	ESYT2	Q9BSJ8	ESYT1_HUMAN	ESYT1	3	3	2	0	5
3316389	A0JLT2	MED19_HUMAN	MED19	O75586	MED6_HUMAN	MED6	9	3	6	0	11
3316390	A0JLT2	MED19_HUMAN	MED19	Q9NX70	MED29_HUMAN	MED29	12	4	7	0	18
3316391	A0JLT2	MED19_HUMAN	MED19	Q9P086	MED11_HUMAN	MED11	9	2	5	0	10
3316392	A0JLT2	MED19_HUMAN	MED19	Q9Y3C7	MED31_HUMAN	MED31	10	4	5	0	13
3316393	A0JLT2	MED19_HUMAN	MED19	Q9BUE0	MED18_HUMAN	MED18	9	3	6	0	10
3316394	A0JLT2	MED19_HUMAN	MED19	Q9NVC6	MED17_HUMAN	MED17	12	5	7	0	14
3316395	A0JLT2	MED19_HUMAN	MED19	Q9H944	MED20_HUMAN	MED20	9	3	6	0	11
3316396	A0JLT2	MED19_HUMAN	MED19	Q96G25	MED8_HUMAN	MED8	11	4	7	0	13
3316416	A0JLT2	MED19_HUMAN	MED19	Q71SY5	MED25_HUMAN	MED25	7	2	5	0	8
3316417	A0JLT2	MED19_HUMAN	MED19	Q13503	MED21_HUMAN	MED21	6	2	4	0	6
3316418	A0JLT2	MED19_HUMAN	MED19	Q15528	MED22_HUMAN	MED22	5	2	4	0	6
3316419	A0JLT2	MED19_HUMAN	MED19	O43513	MED7_HUMAN	MED7	7	3	4	0	7
3316420	A0JLT2	MED19_HUMAN	MED19	Q96HR3	MED30_HUMAN	MED30	5	2	4	0	6
3316421	A0JLT2	MED19_HUMAN	MED19	Q9UHV7	MED13_HUMAN	MED13	8	3	6	0	10
3316422	A0JLT2	MED19_HUMAN	MED19	A0JLT2	MED19_HUMAN	MED19	7	2	4	0	7
3316423	A0JLT2	MED19_HUMAN	MED19	Q9NPJ6	MED4_HUMAN	MED4	11	4	7	0	12
3316424	A0JLT2	MED19_HUMAN	MED19	Q6P2C8	MED27_HUMAN	MED27	9	5	6	0	10
3316425	A0JLT2	MED19_HUMAN	MED19	O95402	MED26_HUMAN	MED26	7	2	5	0	12
3316426	A0JLT2	MED19_HUMAN	MED19	Q9Y2X0	MED16_HUMAN	MED16	7	3	5	0	8
3316427	A0JLT2	MED19_HUMAN	MED19	O75448	MED24_HUMAN	MED24	5	3	4	0	6
3316428	A0JLT2	MED19_HUMAN	MED19	Q9ULK4	MED23_HUMAN	MED23	7	3	5	0	8
3316429	A0JLT2	MED19_HUMAN	MED19	O60244	MED14_HUMAN	MED14	7	3	5	0	8
3316430	A0JLT2	MED19_HUMAN	MED19	Q15648	MED1_HUMAN	MED1	11	3	8	0	12
3316431	A0JLT2	MED19_HUMAN	MED19	Q93074	MED12_HUMAN	MED12	8	3	6	0	9
3319505	A0JLT2	MED19_HUMAN	MED19	P62875	RPAB5_HUMAN	POLR2L	4	2	2	0	4
3319530	A0JLT2	MED19_HUMAN	MED19	Q8IXW5	RPAP2_HUMAN	RPAP2	2	2	2	0	2
3319557	A0JLT2	MED19_HUMAN	MED19	Q9UHB7	AFF4_HUMAN	AFF4	2	2	2	0	2
3319558	A0JLT2	MED19_HUMAN	MED19	O00472	ELL2_HUMAN	ELL2	3	2	2	0	3
3319564	A0JLT2	MED19_HUMAN	MED19	P24863	CCNC_HUMAN	CCNC	6	3	5	0	7
3319567	A0JLT2	MED19_HUMAN	MED19	P36954	RPB9_HUMAN	POLR2I	4	2	2	0	4
3319568	A0JLT2	MED19_HUMAN	MED19	P52434	RPAB3_HUMAN	POLR2H	4	2	2	0	4
3319571	A0JLT2	MED19_HUMAN	MED19	P19388	RPAB1_HUMAN	POLR2E	4	2	2	0	4
3319572	A0JLT2	MED19_HUMAN	MED19	P61218	RPAB2_HUMAN	POLR2F	4	2	2	0	4
3319575	A0JLT2	MED19_HUMAN	MED19	P52435	RPB11_HUMAN	POLR2J	4	2	2	0	4
3319576	A0JLT2	MED19_HUMAN	MED19	P62487	RPB7_HUMAN	POLR2G	4	2	2	0	4
3319577	A0JLT2	MED19_HUMAN	MED19	O15514	RPB4_HUMAN	POLR2D	4	2	2	0	4
3319578	A0JLT2	MED19_HUMAN	MED19	P19387	RPB3_HUMAN	POLR2C	4	2	2	0	4
3319579	A0JLT2	MED19_HUMAN	MED19	P30876	RPB2_HUMAN	POLR2B	4	2	2	0	4
