from	to
8797	5970
8797	7157
8797	3725
8797	6667
8797	2113
8797	4602
8797	4790
8835	3716
8835	6772
8835	6778
8835	6777
8835	6773
8835	6775
8835	6774
8835	7297
8835	2099
8835	4602
8835	6776
9021	3716
9021	6772
9021	6778
9021	1027
9021	6777
9021	6773
9021	6775
9021	5970
9021	6774
9021	7297
9021	2099
9021	4790
9021	6776
8795	5970
8795	7157
8795	6667
8795	2113
8795	4602
8795	4790
8651	3716
8651	6772
8651	6778
8651	6777
8651	6773
8651	6775
8651	6774
8651	3091
8651	7297
8651	2113
8651	6776
5071	26034
4616	5160
4616	5468
4616	4088
4616	5467
4616	4089
4616	5970
4616	5465
4616	7157
4616	367
4616	2099
4616	5914
10912	5160
10912	5468
10912	5467
10912	5465
10912	7157
10912	367
10912	1051
10912	1052
10912	2099
10912	5914
3939	1385
3939	4609
3939	1387
3939	2033
3939	405
3939	3091
3939	6667
3939	466
5230	1387
5230	2033
5230	405
5230	3091
5230	466
5230	4782
2353	4313
2353	5160
2353	2950
2353	355
2353	6772
2353	2314
2353	4089
2353	5743
2353	7157
2353	2002
2353	1386
2353	4842
2353	7040
2353	3553
2353	7124
2353	3725
2353	5228
2353	7422
2353	7423
2353	7424
2353	1385
2353	6774
2353	3558
2353	466
2353	1051
2353	2099
2353	2100
2353	2113
2353	2114
2353	2118
2353	2313
2353	4782
2353	4790
2353	5241
2353	6352
2353	595
2353	1026
2353	4318
2353	3569
2353	1081
2353	4922
2353	5329
2353	6707
2353	7432
2353	5179
2353	4481
2353	2194
2353	2006
2353	7076
2353	3122
2353	4314
2353	4322
2353	959
2353	5730
2353	3868
7039	6775
7039	7157
7039	3091
7039	2034
7039	2099
7039	5241
7039	7020
4313	2078
4313	5970
4313	7157
4313	3725
4313	4609
4313	6667
4313	2113
4313	2118
4313	2313
4313	6688
4313	7020
5160	5468
5160	5467
5160	5465
5160	3725
5160	4609
5160	6667
5160	367
5160	7020
2950	5970
2950	1385
2950	4609
2950	367
2950	4790
2950	5914
2950	5915
2950	5916
2078	672
2078	7048
2078	3725
2078	2099
2078	2114
2078	2313
2078	6688
2078	4318
2078	930
2078	3162
2078	4846
2078	4314
2078	7134
2078	290
2078	7431
4282	7157
4282	367
4282	5914
4282	5915
4282	5916
3716	672
3716	6772
3716	6778
3716	6777
3716	6773
3716	6775
3716	122809
3716	6774
3716	3558
3716	7297
3716	6776
3716	30837
3716	9306
3716	9655
3716	5771
355	1050
355	7157
355	3725
355	1385
355	6774
355	6667
355	1958
355	4602
355	4790
355	7020
894	5468
894	6772
894	6778
894	1027
894	6777
894	6773
894	5467
894	6775
894	5465
894	2002
894	6654
894	3725
894	1499
894	4609
894	6774
894	51176
894	6934
894	83439
894	6667
894	367
894	2313
894	4790
894	5933
894	6776
894	6932
894	7391
894	7392
896	6772
896	6778
896	1027
896	6777
896	6773
896	6775
896	2002
896	6654
896	3725
896	1499
896	6774
896	51176
896	6934
896	83439
896	2313
896	5933
896	6776
896	6932
4261	6772
4261	3725
4261	1385
4261	466
4261	2113
4261	6688
4261	7391
2645	5468
2645	6772
2645	6777
2645	6774
2645	3091
2645	367
2645	7391
5468	1050
5468	6777
5468	4088
5468	5743
5468	7422
5468	1647
5468	488
5468	1385
5468	4609
5468	596
5468	5054
5468	367
5468	1051
5468	1958
5468	2099
5468	2100
5468	4602
5468	5451
5468	5914
5468	5915
5468	1906
5468	2205
5468	6319
5468	51129
5468	7350
5468	595
5468	335
5468	338
5468	348
5468	8209
5468	958
5468	9308
5468	1026
5468	1588
5468	1956
5468	3988
5468	4318
5468	8996
5468	5744
5468	56729
5468	949
5468	10648
5468	10501
5468	54575
5468	3569
672	7157
672	2002
672	1647
672	1385
672	6774
672	596
672	6667
672	367
672	466
672	2099
672	2113
672	2114
672	2118
672	4790
672	7392
672	374
672	231
672	23415
672	131096
672	5111
6772	6778
6772	6777
6772	6773
6772	598
6772	4170
6772	4089
6772	6775
6772	51588
6772	122809
6772	1154
6772	10401
6772	7157
6772	4843
6772	3725
6772	5228
6772	7422
6772	7423
6772	7424
6772	316
6772	7054
6772	4609
6772	1387
6772	2033
6772	6774
6772	596
6772	7297
6772	1277
6772	2100
6772	8554
6772	9063
6772	30837
6772	8731
6772	5328
6772	9306
6772	9655
6772	5771
6772	3383
6772	595
6772	2670
6772	5292
6772	1447
6772	348
6772	958
6772	1026
6772	1588
6772	1956
6772	4582
6772	8996
6772	4056
6772	11336
6772	7432
6772	4144
6772	5980
6772	7076
6772	943
6772	26229
6772	3559
6772	7078
6772	3315
