"","EG_node1","EG_node2","Source"
"1","51594","53407","ppi"
"2","51594","60561","ppi"
"3","55048","7251","ppi"
"4","80006","27095","ppi"
"5","23019","4848","ppi"
"6","23019","4850","ppi"
"7","23019","9337","ppi"
"8","23019","4849","ppi"
"9","23019","10140","ppi"
"10","23019","10950","ppi"
"11","23019","23","ppi"
"12","23019","55361","ppi"
"13","23019","9125","ppi"
"14","23019","60313","ppi"
"15","23019","6386","ppi"
"16","23019","10766","ppi"
"17","23019","832","ppi"
"18","23019","829","ppi"
"19","23019","27125","ppi"
"20","23019","54998","ppi"
"21","23019","25904","ppi"
"22","9743","4914","ppi"
"23","9743","9564","ppi"
"24","9743","387","ppi"
"25","9743","5879","ppi"
"26","9755","9641","ppi"
"27","3796","79939","ppi"
"28","3796","6092","ppi"
"29","3796","8665","ppi"
"30","3796","80304","ppi"
"31","3796","8266","ppi"
"32","3796","57539","ppi"
"33","3796","27109","ppi"
"34","3796","1454","ppi"
"35","6446","4734","ppi"
"36","6446","23327","ppi"
"37","6446","1831","ppi"
"38","6446","5894","ppi"
"39","9124","51132","ppi"
"40","9124","87","ppi"
"41","8773","8773","ppi"
"42","8773","6845","ppi"
"43","8773","8676","ppi"
"44","8773","6810","ppi"
"45","9049","3320","ppi"
"46","3775","7329","ppi"
"47","6814","6810","ppi"
"48","9179","51106","ppi"
"49","9179","3615","ppi"
"50","9179","11154","ppi"
"51","9179","24149","ppi"
"52","9179","90580","ppi"
"53","9179","8535","ppi"
"54","9179","51642","ppi"
"55","9179","9836","ppi"
"56","9179","5898","ppi"
"57","7099","6714","ppi"
"58","322","22883","ppi"
"59","322","334","ppi"
"60","322","322","ppi"
"61","8797","8795","ppi"
"62","8797","843","ppi"
"63","5717","5704","ppi"
"64","5717","5719","ppi"
"65","5717","5708","ppi"
"66","5717","5709","ppi"
"67","7844","7325","ppi"
"68","8535","10971","ppi"
"69","8535","1911","ppi"
"70","8535","80012","ppi"
"71","8535","4637","ppi"
"72","8535","55364","ppi"
"73","8535","7265","ppi"
"74","8535","1487","ppi"
"75","8665","51386","ppi"
"76","8665","3646","ppi"
"77","8665","8664","ppi"
"78","8665","8669","ppi"
"79","8665","8666","ppi"
"80","10671","84516","ppi"
"81","3843","6137","ppi"
"82","3843","3842","ppi"
"83","10733","10733","ppi"
"84","10733","50640","ppi"
"85","10733","10079","ppi"
"86","5296","2885","ppi"
"87","5296","5291","ppi"
"88","5296","5290","ppi"
"89","5296","26060","ppi"
"90","5296","5295","ppi"
"91","5296","8503","ppi"
"92","10213","5716","ppi"
"93","10213","5709","ppi"
"94","5717","10213","ppi"
"95","10213","5700","ppi"
"96","10213","55049","ppi"
"97","10213","7337","ppi"
"98","10213","166378","ppi"
"99","10213","5719","ppi"
"100","10213","5708","ppi"
"101","10213","5686","ppi"
"102","10213","5702","ppi"
"103","10213","5706","ppi"
"104","10213","5704","ppi"
"105","10213","5684","ppi"
"106","10213","5693","ppi"
"107","10213","9690","ppi"
"108","3839","10078","ppi"
"109","6386","6386","ppi"
"110","7476","11197","ppi"
"111","11065","11065","ppi"
"112","8835","8065","ppi"
"113","8099","8932","ppi"
"114","8099","57459","ppi"
"115","8099","57504","ppi"
"116","8099","57621","ppi"
"117","8099","79084","ppi"
"118","8099","6942","ppi"
"119","8099","51222","ppi"
"120","8099","57592","ppi"
"121","8099","55601","ppi"
"122","8099","23613","ppi"
"123","8099","10743","ppi"
"124","10190","10075","ppi"
"125","9021","8065","ppi"
"126","9021","10971","ppi"
"127","9021","2185","ppi"
"128","10435","998","ppi"
"129","1855","1454","ppi"
"130","1855","1856","ppi"
"131","1856","8312","ppi"
"132","51594","1856","ppi"
"133","1856","23085","ppi"
"134","1856","51329","ppi"
"135","1856","90102","ppi"
"136","1856","1857","ppi"
"137","8085","9070","ppi"
"138","8780","6830","ppi"
"139","8780","114879","ppi"
"140","10419","7534","ppi"
"141","10419","55352","ppi"
"142","10419","6628","ppi"
"143","10419","1207","ppi"
"144","10419","3717","ppi"
"145","10419","10419","ppi"
"146","2660","2660","ppi"
"147","2660","5045","ppi"
"148","22808","5900","ppi"
"149","22808","5894","ppi"
"150","3437","3437","ppi"
"151","8825","6574","ppi"
"152","8825","4355","ppi"
"153","100287932","10245","ppi"
"154","5338","2885","ppi"
"155","22797","7030","ppi"
"156","4659","387","ppi"
"157","4659","2353","ppi"
"158","2580","120892","ppi"
"159","2580","10188","ppi"
"160","2580","64397","ppi"
"161","2580","11127","ppi"
"162","2580","832","ppi"
"163","2580","810","ppi"
"164","2580","8650","ppi"
"165","2580","2060","ppi"
"166","2580","6396","ppi"
"167","2580","64423","ppi"
"168","2580","5686","ppi"
"169","2580","55589","ppi"
"170","2580","10116","ppi"
"171","2580","163","ppi"
"172","2580","160","ppi"
"173","2580","29082","ppi"
"174","8871","2885","ppi"
"175","8871","5879","ppi"
"176","80184","79959","ppi"
"177","80184","22994","ppi"
"178","80184","9738","ppi"
"179","80184","29079","ppi"
"180","4092","1432","ppi"
"181","4092","10454","ppi"
"182","4092","657","ppi"
"183","4092","4734","ppi"
"184","4092","11059","ppi"
"185","1147","4792","ppi"
"186","1147","9020","ppi"
"187","1147","6885","ppi"
"188","1147","1147","ppi"
"189","1147","7132","ppi"
"190","1147","5610","ppi"
"191","1147","9612","ppi"
"192","1147","2475","ppi"
"193","10095","10092","ppi"
"194","10095","10109","ppi"
"195","10095","10094","ppi"
"196","10095","81873","ppi"
"197","10109","10092","ppi"
"198","10109","10094","ppi"
"199","10109","10552","ppi"
"200","10094","10096","ppi"
"201","10094","10092","ppi"
"202","4194","7322","ppi"
"203","4194","7534","ppi"
"204","4194","4194","ppi"
"205","4194","9099","ppi"
"206","8805","8805","ppi"
"207","4092","8312","ppi"
