EG_node1	EG_node2	Source
51594	8767	ppi
387521	1457	ppi
80006	6449	ppi
23019	23300	ppi
23019	7039	ppi
23019	55278	ppi
23019	7205	ppi
23019	51386	ppi
23019	9735	ppi
23019	7327	ppi
23019	7249	ppi
23019	5469	ppi
23019	10427	ppi
23019	11124	ppi
23019	10140	ppi
9755	9015	ppi
7993	805	ppi
7993	808	ppi
3796	59343	ppi
3796	23136	ppi
3796	84254	ppi
3796	51693	ppi
3796	6838	ppi
3796	2752	ppi
3796	5362	ppi
3796	5481	ppi
3796	2931	ppi
3796	9722	ppi
3796	5536	ppi
3796	23173	ppi
3796	55093	ppi
3796	6135	ppi
6446	8325	ppi
6446	59277	ppi
10212	7337	ppi
10212	79753	ppi
8773	1213	ppi
9179	9863	ppi
9179	55605	ppi
9179	8797	ppi
9179	8899	ppi
5874	54453	ppi
5874	23012	ppi
8546	10435	ppi
8546	5707	ppi
322	4214	ppi
322	8863	ppi
3964	5519	ppi
8797	5165	ppi
5717	27072	ppi
5717	8546	ppi
5717	7041	ppi
7844	1457	ppi
7844	84061	ppi
8535	2787	ppi
8535	9877	ppi
8535	6430	ppi
8665	23598	ppi
8665	4350	ppi
8665	22883	ppi
785	3839	ppi
8317	2150	ppi
10733	1181	ppi
10733	8402	ppi
10733	51631	ppi
10733	8870	ppi
5296	1020	ppi
5296	1453	ppi
5296	4723	ppi
10640	79960	ppi
10213	7041	ppi
10213	8546	ppi
10213	84310	ppi
10213	23558	ppi
10213	2066	ppi
10213	2746	ppi
10213	30849	ppi
10213	27072	ppi
10213	2644	ppi
10213	2633	ppi
6386	400	ppi
6386	902	ppi
8835	60528	ppi
8099	7156	ppi
8099	6580	ppi
8099	10667	ppi
8099	23112	ppi
8099	147040	ppi
8099	11073	ppi
8099	5358	ppi
8099	51371	ppi
8099	8495	ppi
10190	79048	ppi
9021	60528	ppi
9021	23568	ppi
9021	1027	ppi
9021	7818	ppi
9021	10454	ppi
1855	5536	ppi
1856	84959	ppi
1856	6809	ppi
1856	23412	ppi
1856	57492	ppi
7802	7203	ppi
8085	152185	ppi
317	2887	ppi
8780	22906	ppi
8780	6945	ppi
10005	1819	ppi
10419	7905	ppi
10419	4205	ppi
10419	4116	ppi
10419	9262	ppi
8795	23016	ppi
8795	23404	ppi
8829	835	ppi
2660	5524	ppi
2660	4522	ppi
10497	8717	ppi
10755	5428	ppi
10755	2332	ppi
3551	6181	ppi
3551	4194	ppi
3551	10017	ppi
3551	55095	ppi
3551	2888	ppi
3551	6884	ppi
3551	23404	ppi
3551	5335	ppi
3551	6046	ppi
3551	7709	ppi
3551	6249	ppi
3551	84959	ppi
3551	9015	ppi
3551	9686	ppi
5338	1020	ppi
27089	3563	ppi
6790	6195	ppi
6790	27089	ppi
6790	740	ppi
6790	23235	ppi
6790	5612	ppi
6790	5362	ppi
6790	148170	ppi
6790	6310	ppi
6790	9958	ppi
6790	8676	ppi
