EG_node1	EG_node2	Source
C00084	217	metabosignal
C00084	224	metabosignal
C00084	221	metabosignal
C00084	219	metabosignal
C00084	222	metabosignal
C00084	220	metabosignal
C00084	218	metabosignal
C00084	501	metabosignal
C00084	223	metabosignal
217	C00033	metabosignal
224	C00033	metabosignal
221	C00033	metabosignal
219	C00033	metabosignal
222	C00033	metabosignal
220	C00033	metabosignal
218	C00033	metabosignal
501	C00033	metabosignal
223	C00033	metabosignal
C00084	10327	metabosignal
C00469	10327	metabosignal
C00084	127	metabosignal
C00469	127	metabosignal
C00084	128	metabosignal
C00469	128	metabosignal
C00084	130	metabosignal
C00469	130	metabosignal
C00084	124	metabosignal
C00469	124	metabosignal
C00084	125	metabosignal
C00469	125	metabosignal
C00084	126	metabosignal
C00469	126	metabosignal
C00084	131	metabosignal
C00469	131	metabosignal
C00068	5161	metabosignal
C00022	5161	metabosignal
C00068	5162	metabosignal
C00022	5162	metabosignal
C00068	5160	metabosignal
C00022	5160	metabosignal
5161	C05125	metabosignal
5162	C05125	metabosignal
5160	C05125	metabosignal
5161	C15972	metabosignal
5162	C15972	metabosignal
5160	C15972	metabosignal
5161	C00024	metabosignal
5162	C00024	metabosignal
5160	C00024	metabosignal
C00022	1737	metabosignal
C15973	1737	metabosignal
C00024	1737	metabosignal
5161	C16255	metabosignal
5162	C16255	metabosignal
5160	C16255	metabosignal
1737	C16255	metabosignal
C00022	160287	metabosignal
C00186	160287	metabosignal
C00022	92483	metabosignal
C00186	92483	metabosignal
C00022	3939	metabosignal
C00186	3939	metabosignal
C00022	3945	metabosignal
C00186	3945	metabosignal
C00022	3948	metabosignal
C00186	3948	metabosignal
C00022	5315	metabosignal
C00074	5315	metabosignal
C00022	5313	metabosignal
C00074	5313	metabosignal
C00074	2027	metabosignal
C00631	2027	metabosignal
C00074	2026	metabosignal
C00631	2026	metabosignal
C00074	2023	metabosignal
C00631	2023	metabosignal
C00631	669	metabosignal
C00631	5223	metabosignal
C00631	5224	metabosignal
C00631	441531	metabosignal
669	C00197	metabosignal
5223	C00197	metabosignal
5224	C00197	metabosignal
441531	C00197	metabosignal
C00118	26330	metabosignal
C00118	2597	metabosignal
669	C00236	metabosignal
26330	C00236	metabosignal
2597	C00236	metabosignal
C00118	7167	metabosignal
7167	C00111	metabosignal
C00118	230	metabosignal
C00111	230	metabosignal
C05378	230	metabosignal
C00118	226	metabosignal
C00111	226	metabosignal
C05378	226	metabosignal
C00118	229	metabosignal
C00111	229	metabosignal
C05378	229	metabosignal
C05378	5213	metabosignal
C05345	5213	metabosignal
C05378	5214	metabosignal
C05345	5214	metabosignal
C05378	5211	metabosignal
C05345	5211	metabosignal
C05378	2203	metabosignal
C05345	2203	metabosignal
C05378	8789	metabosignal
C05345	8789	metabosignal
C05345	2821	metabosignal
C00668	2821	metabosignal
C00668	5236	metabosignal
C00103	5236	metabosignal
C00668	55276	metabosignal
C00103	55276	metabosignal
2821	C01172	metabosignal
C05345	3101	metabosignal
C00668	3101	metabosignal
C01172	3101	metabosignal
C00221	3101	metabosignal
