EG_node1	EG_node2	Source
57488	23344	ppi
51594	53407	ppi
51594	60561	ppi
55048	7251	ppi
80006	27095	ppi
23019	4848	ppi
23019	4850	ppi
23019	9337	ppi
23019	4849	ppi
23019	10140	ppi
23019	10950	ppi
23019	23	ppi
23019	55361	ppi
23019	9125	ppi
23019	60313	ppi
23019	6386	ppi
23019	10766	ppi
23019	832	ppi
23019	829	ppi
23019	27125	ppi
23019	54998	ppi
23019	25904	ppi
9743	4914	ppi
9743	9564	ppi
9743	387	ppi
9743	5879	ppi
9755	9641	ppi
3796	79939	ppi
3796	6092	ppi
3796	8665	ppi
3796	80304	ppi
3796	8266	ppi
3796	57539	ppi
3796	27109	ppi
3796	1454	ppi
6446	4734	ppi
6446	23327	ppi
6446	1831	ppi
6446	5894	ppi
9124	51132	ppi
9124	87	ppi
8773	8773	ppi
8773	6845	ppi
8773	8676	ppi
8773	6810	ppi
9049	3320	ppi
3775	7329	ppi
6814	6810	ppi
9179	51106	ppi
9179	3615	ppi
9179	11154	ppi
9179	24149	ppi
9179	90580	ppi
9179	8535	ppi
9179	51642	ppi
9179	9836	ppi
9179	5898	ppi
7099	6714	ppi
322	22883	ppi
322	334	ppi
322	322	ppi
8797	8795	ppi
8797	843	ppi
5717	5704	ppi
5717	5719	ppi
5717	5708	ppi
5717	5709	ppi
7844	7325	ppi
8535	10971	ppi
8535	1911	ppi
8535	80012	ppi
8535	4637	ppi
8535	55364	ppi
8535	7265	ppi
8535	1487	ppi
8665	51386	ppi
8665	3646	ppi
8665	8664	ppi
8665	8669	ppi
8665	8666	ppi
4147	4147	ppi
10671	84516	ppi
3843	6137	ppi
3843	3842	ppi
10733	10733	ppi
10733	50640	ppi
10733	10079	ppi
5296	2885	ppi
5296	5291	ppi
5296	5290	ppi
5296	26060	ppi
5296	5295	ppi
5296	8503	ppi
10640	149371	ppi
10640	54536	ppi
10213	5716	ppi
10213	5709	ppi
10213	5717	ppi
10213	5700	ppi
10213	55049	ppi
10213	7337	ppi
10213	166378	ppi
10213	5719	ppi
10213	5708	ppi
10213	5686	ppi
10213	5702	ppi
10213	5706	ppi
10213	5704	ppi
10213	5684	ppi
10213	5693	ppi
10213	9690	ppi
3839	10078	ppi
6386	6386	ppi
7476	11197	ppi
11065	11065	ppi
8835	8065	ppi
8099	8932	ppi
8099	57459	ppi
8099	57504	ppi
8099	57621	ppi
8099	79084	ppi
8099	6942	ppi
8099	51222	ppi
8099	57592	ppi
8099	55601	ppi
8099	23613	ppi
8099	10743	ppi
11122	11122	ppi
10190	10075	ppi
9021	8065	ppi
9021	10971	ppi
9021	2185	ppi
10435	998	ppi
1855	1454	ppi
1855	1856	ppi
1856	8312	ppi
1856	51594	ppi
1856	23085	ppi
1856	51329	ppi
1856	90102	ppi
1856	1857	ppi
1861	1861	ppi
8085	9070	ppi
8780	6830	ppi
8780	114879	ppi
10419	7534	ppi
10419	55352	ppi
10419	6628	ppi
10419	1207	ppi
10419	3717	ppi
10419	10419	ppi
30000	10640	ppi
2660	2660	ppi
2660	5045	ppi
22808	5900	ppi
22808	5894	ppi
3437	3437	ppi
8825	6574	ppi
8825	4355	ppi
100287932	10245	ppi
5338	2885	ppi
22797	7030	ppi
4659	387	ppi
4659	2353	ppi
2580	120892	ppi
2580	10188	ppi
2580	64397	ppi
2580	11127	ppi
2580	832	ppi
2580	810	ppi
2580	8650	ppi
2580	2060	ppi
2580	6396	ppi
2580	64423	ppi
2580	5686	ppi
2580	55589	ppi
2580	10116	ppi
2580	163	ppi
2580	160	ppi
2580	29082	ppi
8871	2885	ppi
8871	5879	ppi
80184	79959	ppi
80184	22994	ppi
80184	9738	ppi
80184	29079	ppi
4092	1432	ppi
4092	10454	ppi
4092	657	ppi
4092	4734	ppi
4092	11059	ppi
1147	4792	ppi
1147	9020	ppi
1147	6885	ppi
1147	1147	ppi
1147	7132	ppi
1147	5610	ppi
1147	9612	ppi
1147	2475	ppi
10095	10092	ppi
10095	10109	ppi
10095	10094	ppi
10095	81873	ppi
10109	10092	ppi
10109	10094	ppi
10109	10552	ppi
10094	10096	ppi
10094	10092	ppi
4194	7322	ppi
4194	7534	ppi
4194	4194	ppi
4194	9099	ppi
8805	8805	ppi
8312	4092	ppi
8312	5515	ppi
8312	1454	ppi
8312	23291	ppi
8312	1857	ppi
8312	139285	ppi
8312	8313	ppi
8312	4214	ppi
8312	8945	ppi
8312	1453	ppi
8312	57584	ppi
8312	1495	ppi
8312	8312	ppi
8312	1855	ppi
8312	4088	ppi
8312	4041	ppi
2941	2941	ppi
22794	5976	ppi
6580	29956	ppi
2189	2189	ppi
2189	2176	ppi
8473	51507	ppi
4281	4281	ppi
4281	5515	ppi
3636	2885	ppi
8664	8669	ppi
8664	8666	ppi
8664	10480	ppi
8667	8666	ppi
8667	3646	ppi
8667	10480	ppi
8667	8669	ppi
8667	8664	ppi
8667	8665	ppi
8667	51386	ppi
8651	3717	ppi
8651	5295	ppi
8651	3716	ppi
4097	4097	ppi
4097	4779	ppi
1665	23451	ppi
1665	10969	ppi
8853	2885	ppi
5709	5708	ppi
5709	5716	ppi
5709	5719	ppi
1613	1613	ppi
9738	79959	ppi
6885	10454	ppi
6885	6885	ppi
6885	51701	ppi
6885	5599	ppi
6885	331	ppi
6885	4217	ppi
6885	54756	ppi
6885	8915	ppi
9521	3376	ppi
8767	8767	ppi
8767	7189	ppi
8767	6885	ppi
9129	9129	ppi
9129	6638	ppi
10542	55004	ppi
10542	57521	ppi
10018	598	ppi
10018	4170	ppi
10018	581	ppi
10018	10018	ppi
10018	8945	ppi
10018	1154	ppi
10253	2885	ppi
10253	23390	ppi
10253	5515	ppi
10252	2885	ppi
10252	10253	ppi
27095	79090	ppi
27095	22878	ppi
27095	51693	ppi
8440	3987	ppi
8440	58480	ppi
8440	5586	ppi
8440	1796	ppi
8440	10006	ppi
2954	2954	ppi
10758	7189	ppi
10758	1147	ppi
10758	6885	ppi
10758	10758	ppi
10758	3320	ppi
5565	5563	ppi
5565	5565	ppi
5565	2992	ppi
5565	10253	ppi
5565	8676	ppi
5565	54971	ppi
5565	1460	ppi
164	1213	ppi
10228	6810	ppi
10228	63908	ppi
10228	8773	ppi
6449	6449	ppi
6449	6860	ppi
6449	4832	ppi
6449	114897	ppi
6449	3320	ppi
6801	7203	ppi
6801	10574	ppi
6801	6950	ppi
6801	29015	ppi
6801	9521	ppi
10749	5436	ppi
10749	6092	ppi
10749	8569	ppi
10749	8899	ppi
10749	7534	ppi
5001	4998	ppi
5001	5001	ppi
5000	5001	ppi
23295	7321	ppi
9839	4087	ppi
9839	4086	ppi
9839	1487	ppi
23396	163	ppi
23396	27131	ppi
7813	5347	ppi
7547	2737	ppi
10724	8473	ppi
10174	5062	ppi
1729	387	ppi
1729	9123	ppi
1729	83871	ppi
1729	79670	ppi
5810	3364	ppi
3717	9021	ppi
3717	5335	ppi
3717	6772	ppi
3717	6777	ppi
3717	3717	ppi
5192	5192	ppi
6643	6642	ppi
6643	6643	ppi
6643	27131	ppi
8813	54344	ppi
10043	1213	ppi
8721	6908	ppi
4983	387	ppi
4983	998	ppi
6907	27101	ppi
5201	5204	ppi
5201	5203	ppi
5201	7411	ppi
23046	84128	ppi
23046	29079	ppi
23046	8266	ppi
23046	6883	ppi
23046	64175	ppi
9722	2534	ppi
863	862	ppi
9889	3320	ppi
23363	9820	ppi
9810	9810	ppi
261734	7266	ppi
4849	9125	ppi
26039	26039	ppi
26039	10262	ppi
9525	27183	ppi
9525	10015	ppi
55660	1729	ppi
55660	55660	ppi
55660	10921	ppi
6867	51072	ppi
6867	8019	ppi
6867	9821	ppi
6867	8945	ppi
10651	10971	ppi
10651	84303	ppi
10651	5499	ppi
4094	4094	ppi
4094	2353	ppi
11104	440193	ppi
11104	7398	ppi
11104	57701	ppi
11104	51026	ppi
11104	9113	ppi
11104	10174	ppi
10613	267	ppi
4722	4535	ppi
4722	4728	ppi
4722	4723	ppi
4722	4719	ppi
4722	51295	ppi
1203	26270	ppi
10474	10629	ppi
10474	6883	ppi
23451	51741	ppi
23451	6638	ppi
23451	10262	ppi
23451	83443	ppi
23451	23020	ppi
11193	6628	ppi
8676	8676	ppi
8575	8575	ppi
9252	3164	ppi
9252	572	ppi
10001	51586	ppi
9191	841	ppi
9191	9191	ppi
8547	8547	ppi
23020	7532	ppi
23020	23020	ppi
23020	6628	ppi
261726	523	ppi
8481	55722	ppi
8481	7266	ppi
8481	117178	ppi
8481	22994	ppi
8481	5347	ppi
8481	80254	ppi
8481	10464	ppi
8481	84318	ppi
8481	57534	ppi
8481	85459	ppi
8481	585	ppi
8481	26005	ppi
8481	90102	ppi
8481	57536	ppi
8481	197335	ppi
8481	93594	ppi
8986	5594	ppi
8986	8986	ppi
5495	9636	ppi
5495	1147	ppi
8576	22934	ppi
10159	54407	ppi
10159	5898	ppi
10159	84128	ppi
10159	90102	ppi
10159	84317	ppi
10159	28956	ppi
10159	55004	ppi
10159	54978	ppi
10159	29956	ppi
10159	10542	ppi
10159	51552	ppi
10159	523	ppi
10159	112464	ppi
10159	10097	ppi
10159	26136	ppi
