name	Source
43	Seed
627	Seed
840	Seed
950	Seed
1565	Seed
1576	Seed
1813	Seed
2629	Seed
2651	Seed
3060	Seed
3119	Seed
3350	Seed
3356	Seed
3358	Seed
4137	Seed
5071	Seed
5673	Seed
6233	Seed
6531	Seed
6532	Seed
6622	Seed
6949	Seed
8431	Seed
28954	Seed
64838	Seed
120892	Seed
1385	DIAMOnD
2117	DIAMOnD
4892	DIAMOnD
1738	DIAMOnD
4340	DIAMOnD
23082	DIAMOnD
4864	DIAMOnD
5376	DIAMOnD
8013	DIAMOnD
6898	DIAMOnD
4778	DIAMOnD
4477	DIAMOnD
5827	DIAMOnD
3112	DIAMOnD
26034	DIAMOnD
1734	DIAMOnD
7425	DIAMOnD
5082	DIAMOnD
5122	DIAMOnD
4628	DIAMOnD
466	DIAMOnD
6574	DIAMOnD
360	DIAMOnD
8869	DIAMOnD
1585	DIAMOnD
4014	DIAMOnD
1584	DIAMOnD
925	DIAMOnD
796	DIAMOnD
4922	DIAMOnD
5423	DIAMOnD
3135	DIAMOnD
9412	DIAMOnD
7368	DIAMOnD
11232	DIAMOnD
155	DIAMOnD
7038	DIAMOnD
2689	DIAMOnD
4056	DIAMOnD
6573	DIAMOnD
4582	DIAMOnD
7150	DIAMOnD
1113	DIAMOnD
3398	DIAMOnD
2313	DIAMOnD
2516	DIAMOnD
7020	DIAMOnD
7054	DIAMOnD
7166	DIAMOnD
9620	DIAMOnD
4200	DIAMOnD
7433	DIAMOnD
593	DIAMOnD
56125	DIAMOnD
6725	DIAMOnD
6723	DIAMOnD
3162	DIAMOnD
1081	DIAMOnD
1386	DIAMOnD
5179	DIAMOnD
3725	DIAMOnD
3077	DIAMOnD
5327	DIAMOnD
5055	DIAMOnD
1621	DIAMOnD
7432	DIAMOnD
2353	DIAMOnD
2006	DIAMOnD
5329	DIAMOnD
7124	DIAMOnD
4782	DIAMOnD
5743	DIAMOnD
4842	DIAMOnD
5425	DIAMOnD
1583	DIAMOnD
6667	DIAMOnD
7343	DIAMOnD
3868	DIAMOnD
2114	DIAMOnD
2908	DIAMOnD
4318	DIAMOnD
1026	DIAMOnD
2113	DIAMOnD
3875	DIAMOnD
4314	DIAMOnD
2118	DIAMOnD
5046	DIAMOnD
7076	DIAMOnD
146664	DIAMOnD
1594	DIAMOnD
683	DIAMOnD
2314	DIAMOnD
4790	DIAMOnD
8174	DIAMOnD
3485	DIAMOnD
7134	DIAMOnD
355	DIAMOnD
2078	DIAMOnD
7431	DIAMOnD
4313	DIAMOnD
3553	DIAMOnD
6647	DIAMOnD
1958	DIAMOnD
7980	DIAMOnD
2194	DIAMOnD
3560	DIAMOnD
7077	DIAMOnD
7490	DIAMOnD
5243	DIAMOnD
3569	DIAMOnD
8996	DIAMOnD
6774	DIAMOnD
4585	DIAMOnD
1051	DIAMOnD
2152	DIAMOnD
7423	DIAMOnD
1139	DIAMOnD
1588	DIAMOnD
595	DIAMOnD
1052	DIAMOnD
6352	DIAMOnD
1050	DIAMOnD
930	DIAMOnD
3552	DIAMOnD
6441	DIAMOnD
4321	DIAMOnD
2668	DIAMOnD
7040	DIAMOnD
7391	DIAMOnD
943	DIAMOnD
5443	DIAMOnD
7157	DIAMOnD
3481	DIAMOnD
4322	DIAMOnD
5054	DIAMOnD
7392	DIAMOnD
891	DIAMOnD
7015	DIAMOnD
672	DIAMOnD
5669	DIAMOnD
2099	DIAMOnD
6670	DIAMOnD
4846	DIAMOnD
675	DIAMOnD
348	DIAMOnD
6948	DIAMOnD
4843	DIAMOnD
3091	DIAMOnD
6772	DIAMOnD
596	DIAMOnD
5970	DIAMOnD
3315	DIAMOnD
7422	DIAMOnD
929	DIAMOnD
1508	DIAMOnD
367	DIAMOnD
1012	DIAMOnD
5914	DIAMOnD
5328	DIAMOnD
5460	DIAMOnD
374	DIAMOnD
4089	DIAMOnD
231	DIAMOnD
5744	DIAMOnD
213	DIAMOnD
1071	DIAMOnD
5915	DIAMOnD
3383	DIAMOnD
5468	DIAMOnD
1956	DIAMOnD
2100	DIAMOnD
4088	DIAMOnD
1906	DIAMOnD
8288	DIAMOnD
5449	DIAMOnD
7048	DIAMOnD
7042	DIAMOnD
5966	DIAMOnD
1465	DIAMOnD
5451	DIAMOnD
3558	DIAMOnD
5916	DIAMOnD
3630	DIAMOnD
7173	DIAMOnD
2950	DIAMOnD
10957	DIAMOnD
1382	DIAMOnD
6595	DIAMOnD
6594	DIAMOnD
11336	DIAMOnD
1647	DIAMOnD
6688	DIAMOnD
6528	DIAMOnD
6401	DIAMOnD
6916	DIAMOnD
1543	DIAMOnD
6280	DIAMOnD
4602	DIAMOnD
23415	DIAMOnD
5742	DIAMOnD
131096	DIAMOnD
5241	DIAMOnD
7018	DIAMOnD
3484	DIAMOnD
4144	DIAMOnD
268	DIAMOnD
488	DIAMOnD
1387	DIAMOnD
7037	DIAMOnD
6279	DIAMOnD
1592	DIAMOnD
6121	DIAMOnD
9308	DIAMOnD
4481	DIAMOnD
6439	DIAMOnD
2204	DIAMOnD
189	DIAMOnD
183	DIAMOnD
10875	DIAMOnD
3292	DIAMOnD
290	DIAMOnD
7080	DIAMOnD
7849	DIAMOnD
8797	DIAMOnD
1277	DIAMOnD
4616	DIAMOnD
5465	DIAMOnD
3991	DIAMOnD
51129	DIAMOnD
345	DIAMOnD
338	DIAMOnD
335	DIAMOnD
3157	DIAMOnD
10912	DIAMOnD
5160	DIAMOnD
861	DIAMOnD
5467	DIAMOnD
949	DIAMOnD
894	DIAMOnD
6777	DIAMOnD
958	DIAMOnD
1447	DIAMOnD
3718	DIAMOnD
6776	DIAMOnD
8731	DIAMOnD
2322	DIAMOnD
7078	DIAMOnD
3559	DIAMOnD
598	DIAMOnD
2002	DIAMOnD
11344	DIAMOnD
2033	DIAMOnD
226	DIAMOnD
6932	DIAMOnD
4609	DIAMOnD
3214	DIAMOnD
4953	DIAMOnD
6778	DIAMOnD
10401	DIAMOnD
6775	DIAMOnD
6773	DIAMOnD
2670	DIAMOnD
5292	DIAMOnD
316	DIAMOnD
8554	DIAMOnD
9063	DIAMOnD
1030	DIAMOnD
8651	DIAMOnD
51588	DIAMOnD
8835	DIAMOnD
896	DIAMOnD
6654	DIAMOnD
9655	DIAMOnD
1154	DIAMOnD
3728	DIAMOnD
51176	DIAMOnD
4907	DIAMOnD
8061	DIAMOnD
83439	DIAMOnD
4316	DIAMOnD
