name	Source	SYMBOL	ENSEMBL	GENENAME
43	Seed	ACHE	ENSG00000087085	acetylcholinesterase (Cartwright blood group)
627	Seed	BDNF	ENSG00000176697	brain derived neurotrophic factor
840	Seed	CASP7	ENSG00000165806	caspase 7
950	Seed	SCARB2	ENSG00000138760	scavenger receptor class B member 2
1565	Seed	CYP2D6	ENSG00000100197	cytochrome P450 family 2 subfamily D member 6
1576	Seed	CYP3A4	ENSG00000160868	cytochrome P450 family 3 subfamily A member 4
1813	Seed	DRD2	ENSG00000149295	dopamine receptor D2
2629	Seed	GBA	ENSG00000177628	glucosylceramidase beta
2651	Seed	GCNT2	ENSG00000111846	glucosaminyl (N-acetyl) transferase 2 (I blood group)
3060	Seed	HCRT	ENSG00000161610	hypocretin neuropeptide precursor
3119	Seed	HLA-DQB1	ENSG00000179344	major histocompatibility complex, class II, DQ beta 1
3350	Seed	HTR1A	ENSG00000178394	5-hydroxytryptamine receptor 1A
3356	Seed	HTR2A	ENSG00000102468	5-hydroxytryptamine receptor 2A
3358	Seed	HTR2C	ENSG00000147246	5-hydroxytryptamine receptor 2C
4137	Seed	MAPT	ENSG00000186868	microtubule associated protein tau
5071	Seed	PRKN	ENSG00000185345	parkin RBR E3 ubiquitin protein ligase
5673	Seed	PSG5	ENSG00000204941	pregnancy specific beta-1-glycoprotein 5
6233	Seed	RPS27A	ENSG00000143947	ribosomal protein S27a
6531	Seed	SLC6A3	ENSG00000142319	solute carrier family 6 member 3
6532	Seed	SLC6A4	ENSG00000108576	solute carrier family 6 member 4
6622	Seed	SNCA	ENSG00000145335	synuclein alpha
6949	Seed	TCOF1	ENSG00000070814	treacle ribosome biogenesis factor 1
8431	Seed	NR0B2	ENSG00000131910	nuclear receptor subfamily 0 group B member 2
28954	Seed	REM1	ENSG00000088320	RRAD and GEM like GTPase 1
64838	Seed	FNDC4	ENSG00000115226	fibronectin type III domain containing 4
120892	Seed	LRRK2	ENSG00000188906	leucine rich repeat kinase 2
1385	DIAMOnD	CREB1	ENSG00000118260	cAMP responsive element binding protein 1
2117	DIAMOnD	ETV3	ENSG00000117036	ETS variant 3
4892	DIAMOnD	NRAP	ENSG00000197893	nebulin related anchoring protein
1738	DIAMOnD	DLD	ENSG00000091140	dihydrolipoamide dehydrogenase
4340	DIAMOnD	MOG	ENSG00000204655	myelin oligodendrocyte glycoprotein
23082	DIAMOnD	PPRC1	ENSG00000148840	peroxisome proliferator-activated receptor gamma, coactivator-related 1
4864	DIAMOnD	NPC1	ENSG00000141458	NPC intracellular cholesterol transporter 1
5376	DIAMOnD	PMP22	ENSG00000109099	peripheral myelin protein 22
8013	DIAMOnD	NR4A3	ENSG00000119508	nuclear receptor subfamily 4 group A member 3
6898	DIAMOnD	TAT	ENSG00000198650	tyrosine aminotransferase
4778	DIAMOnD	NFE2	ENSG00000123405	nuclear factor, erythroid 2
4477	DIAMOnD	MSMB	ENSG00000263639	microseminoprotein beta
5827	DIAMOnD	PXMP2	ENSG00000176894	peroxisomal membrane protein 2
3112	DIAMOnD	HLA-DOB	ENSG00000241106	major histocompatibility complex, class II, DO beta
26034	DIAMOnD	IPCEF1	ENSG00000074706	interaction protein for cytohesin exchange factors 1
1734	DIAMOnD	DIO2	ENSG00000211448	iodothyronine deiodinase 2
7425	DIAMOnD	VGF	ENSG00000128564	VGF nerve growth factor inducible
5082	DIAMOnD	PDCL	ENSG00000136940	phosducin like
5122	DIAMOnD	PCSK1	ENSG00000175426	proprotein convertase subtilisin/kexin type 1
4628	DIAMOnD	MYH10	ENSG00000133026	myosin heavy chain 10
466	DIAMOnD	ATF1	ENSG00000123268	activating transcription factor 1
6574	DIAMOnD	SLC20A1	ENSG00000144136	solute carrier family 20 member 1
360	DIAMOnD	AQP3	ENSG00000165272	aquaporin 3 (Gill blood group)
8869	DIAMOnD	ST3GAL5	ENSG00000115525	ST3 beta-galactoside alpha-2,3-sialyltransferase 5
1585	DIAMOnD	CYP11B2	ENSG00000179142	cytochrome P450 family 11 subfamily B member 2
4014	DIAMOnD	LOR	ENSG00000203782	loricrin
1584	DIAMOnD	CYP11B1	ENSG00000160882	cytochrome P450 family 11 subfamily B member 1
925	DIAMOnD	CD8A	ENSG00000153563	CD8a molecule
796	DIAMOnD	CALCA	ENSG00000110680	calcitonin related polypeptide alpha
4922	DIAMOnD	NTS	ENSG00000133636	neurotensin
5423	DIAMOnD	POLB	ENSG00000070501	DNA polymerase beta
3135	DIAMOnD	HLA-G	ENSG00000204632	major histocompatibility complex, class I, G
9412	DIAMOnD	MED21	ENSG00000152944	mediator complex subunit 21
7368	DIAMOnD	UGT8	ENSG00000174607	UDP glycosyltransferase 8
11232	DIAMOnD	POLG2	ENSG00000256525	DNA polymerase gamma 2, accessory subunit
155	DIAMOnD	ADRB3	ENSG00000188778	adrenoceptor beta 3
7038	DIAMOnD	TG	ENSG00000042832	thyroglobulin
2689	DIAMOnD	GH2	ENSG00000136487	growth hormone 2
4056	DIAMOnD	LTC4S	ENSG00000213316	leukotriene C4 synthase
6573	DIAMOnD	SLC19A1	ENSG00000173638	solute carrier family 19 member 1
